no ks ts tr alpha n rho z name
1 2.3237e-06 0.475 0.025 1.94 1.208 1.50E+03 -0.2 topweier_new
2 6.0e-06 0.46 0.06 1.5 1.36 1.50E+03 -0.1 loess_erwin
